"Red","NombreOriginal","Shape","Material","Diametro_mm","NodoInicialRaw","NodoFinalRaw","AliasInicial","AliasFinal","TramoBC3","US_Invert_m","DS_Invert_m","LongitudCentro_m","LongitudUtil_m","Pendiente_pct","CodigoBC3","CapituloBC3","Impacta"
"PLUVIALES","PP36-PP37","Circular","...","800","PP36","PP37","PP36","PP37","PP36-PP37","1.51","1.45","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP37-PP38","Circular","...","800","PP37","PP38","PP37","PP38","PP37-PP38","1.45","1.4","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP38-PP39","Circular","...","800","PP38","PP39","PP38","PP39","PP38-PP39","1.4","1.35","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP39-PP40","Circular","...","800","PP39","PP40","PP39","PP40","PP39-PP40","1.35","1.29","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP40-PP41","Circular","...","800","PP40","PP41","PP40","PP41","PP40-PP41","1.29","1.24","38.68","37.68","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP41-PP42","Circular","...","800","PP41","PP42","PP41","PP42","PP41-PP42","1.24","1.19","38.77","37.77","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM05-PP2","Circular","...","250","IM05","PP2","IM89","PP2","IM89-PP2","2.57","2.4","3.35","2.7","5.14","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM06-PP2","Circular","...","250","IM06","PP2","IM71","PP2","IM71-PP2","1.68","2.28","6.03","5.38","-9.85","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP13-PV01","Circular","...","500","PP13","PV01","PP13","IM85","PP13-IM85","1.5","1.47","12.43","10.93","0.25","UAC010.3.5","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP42-PP43","Circular","...","1000","PP42","PP43","PP42","PP43","PP42-PP43","1.19","1.14","40","39","0.13","REVISAR","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM01-PP1","Circular","...","250","IM01","PP1","IM57","PP1","IM57-PP1","2.72","2.34","19.59","18.94","1.96","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP1-IM03","Circular","...","250","PP1","IM03","PP1","IM90","PP1-IM90","2.34","2.07","14.76","14.11","1.81","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM02-PP1","Circular","...","250","IM02","PP1","IM58","PP1","IM58-PP1","2.71","2.42","6.1","5.45","4.7","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP1-IM04","Circular","...","250","PP1","IM04","PP1","IM83","PP1-IM83","2.34","2.05","6.47","5.82","4.49","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM08-PP2","Circular","...","250","IM08","PP2","IM87","PP2","IM87-PP2","2.44","2.28","12.27","11.62","1.33","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM07-PP2","Circular","...","250","IM07","PP2","IM64","PP2","IM64-PP2","1.68","2.28","14.9","14.25","-3.98","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","Tubería - (51)","Circular","...","250","StartNullStruct0","PP3","IM01","PP3","IM01-PP3","2.79","2.51","9.37","8.87","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP3-PP3 (2)","Circular","...","250","PP3","PPEX2","PP3","IM73","PP3-IM73","2.2","1.98","7.35","6.35","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM09-PP3 (1)","Circular","...","250","IM09","PPEX1","IM66","IM50","IM66-IM50","2.66","2.43","7.59","6.94","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP3 (1)-IM10","Circular","...","250","PPEX1","IM10","IM50","IM61","IM50-IM61","2.43","2.25","6.25","5.6","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM11-PP3 (2)","Circular","...","250","IM11","PPEX2","IM88","IM73","IM88-IM73","2.42","2.24","6.08","5.43","2.99","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","PP3 (2)-IM12","Circular","...","250","PPEX2","IM12","IM73","IM86","IM73-IM86","1.49","1.35","4.74","4.09","3.01","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
"PLUVIALES","IM16-PP3 (2) (2)","Circular","...","250","IM16","PPEX3","IM80","IM70","IM80-IM70","2.5","2.16","11.12","10.47","3","UAC010.00","MCG-1.04","BC3 principal; Anejo 7; SyS; pruebas de red"
