"Red","CodigoBase","AliasBC3","TipoInterpretado","CodigoBC3_Referencia","DuplicadosMismoCodigo","NombreRepresentativo","TipoOrigen","Tamano","CotaTapa_m","CotaSumidero_m","ProfundidadGeom_m","ProfundidadReportada_m","Observacion"
"PLUVIALES","PP12","PP12","Pozo pluvial","UAP0.2-TIPOI","1","PP12","Circular","D:1.00","3.6","1.56","2.04","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP29","PP29","Pozo pluvial","UAP0.2-TIPOI","1","PP29","Circular","D:1.00","3.6","1.88","1.72","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","PP36","PP36","Pozo pluvial","UAP0.5-TIPOII","1","PP36","Circular","D:1.00","3.59","1.19","2.4","0","Criterio hidráulico acordado: nodo singular => TIPO II."
"PLUVIALES","IM55","IM43","Imbornal / estructura auxiliar","U044879794E3","1","IM55","Rectangular","L:0.70 W:0.30","3.59","1.6","1.99","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM56","IM44","Imbornal / estructura auxiliar","U044879794E3","1","IM56","Rectangular","L:0.70 W:0.30","3.59","3.04","0.55","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM50","IM45","Imbornal / estructura auxiliar","U044879794E3","1","IM50","Rectangular","L:0.70 W:0.30","3.58","3.12","0.46","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM51","IM46","Imbornal / estructura auxiliar","U044879794E3","1","IM51","Rectangular","L:0.70 W:0.30","3.58","1.76","1.82","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM52","IM47","Imbornal / estructura auxiliar","U044879794E3","1","IM52","Rectangular","L:0.70 W:0.30","3.58","3.11","0.47","0","Criterio actual: no PP = imbornal"
"PLUVIALES","PP37","PP37","Pozo pluvial","UAP0.2-TIPOI","1","PP37","Circular","D:1.00","3.56","1.11","2.45","0","Criterio hidráulico acordado: pozo estándar => TIPO I."
"PLUVIALES","IM57","IM48","Imbornal / estructura auxiliar","U044879794E3","1","IM57","Rectangular","L:0.70 W:0.30","3.56","1.52","2.04","0","Criterio actual: no PP = imbornal"
"PLUVIALES","IM58","IM49","Imbornal / estructura auxiliar","U044879794E3","1","IM58","Rectangular","L:0.70 W:0.30","3.56","2.86","0.7","0","Criterio actual: no PP = imbornal"
